room.obj;0.0;0.0;1.4;0.0,0.0,0.0;3.5,2.0,1.4;
door.obj;-2.50485,-2,0.908127,1.0;0.0,0.0,0.0;0.6,0.03,0.9;
window.obj;3.47064,-1,1.60337,1.0;0.0,0.0,90.0;0.6,0.03,0.9;
window.obj;3.47064,0.96,1.60337,1.0;0.0,0.0,90.0;0.6,0.03,0.9;
carpet.obj;0.095565,-0.278003,0.00421,1.0;0.0,0.0,0.0;1.0,0.760323,0.005;
Rockingchair_01_1k.obj;2.16754,-1.37647,-0.083572,1.0;90.0,0.0,205.0;1.0,1.0,1,0;
wooden_table_02_1k.obj;0.061484,1.70233,0.675477,1.0;90.0,0.0,0.0;1.0,1.0,1,0;
sofa_03_1k.obj;0.070478,-1.47795,-0.000623,1.0;90.0,0.0,180.0;1.0,1.0,1,0;
hanging_picture_frame_02_1k.obj;0.104282,-1.99666,1.90079,1.0;90.0,0.0,180.0;1.0,1.0,1,0;
gamepad_1k.obj;0.535118,0.407167,0.008987,1.0;90.0,0.0,-42.4527;1.41569,1.41569,1.41569;
modern_wooden_cabinet_1k.obj;0.0735,1.72627,0.0,1.0;90.0,0.0,0.0;1.0,1.0,1,0;
vintage_cabinet_01_1k;2.31219,1.69078,0.0,1.0;90.0,0.0,0.0;1.0,1.0,1,0;
vintage_cabinet_01_1k;-2.17615,1.69078,0.0,1.0;90.0,0.0,0.0;1.0,1.0,1,0;
boombox_1k.obj;0.798642,1.74082,0.680451,1.0;90.0,0.0,0.0;1.0,1.0,1,0;
Television_01_2k.obj;0.061484,1.70233,0.675477,1.0;90.0,0.0,0.0;1.0,1.0,1,0;
fancy_picture_frame_01_1k;-3.45241,1.0,2.0,1.0;90.0,0.0,90.0;1.0,1.0,1,0;
fancy_picture_frame_01_1k;-3.45241,-1.0,2.0,1.0;90.0,0.0,90.0;1.0,1.0,1,0;
